col,best_p,best_q,best_aic,threshold_train,threshold_val,val_rmse,anomalies,TN,FN,FP,TP,accuracy,precision,recall,f_score
L_T1,3,4,-13232.106912376079,0.5680493251024165,0.7629534849798139,-1,219,3955,216,3,3,94.757002633469,50.0,1.36986301369863,2.666666666666667
L_T2,4,4,-228.31051172601292,1.1933762528835157,1.2447730010639193,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
L_T3,3,4,-7158.990509138228,0.824538042600868,0.8494884752295038,-1,219,3956,219,2,0,94.70912137898013,0.0,0.0,0.0
L_T4,4,2,8236.754398880352,1.9396034123706638,1.9717792943725245,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
L_T5,4,4,-517.0084731960633,1.1819036928652045,1.1827712058537623,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
L_T6,3,2,-12467.22429253162,0.6575511663118225,0.7316017745680782,-1,219,3957,219,1,0,94.73306200622456,0.0,0.0,0.0
L_T7,3,4,14075.77281783206,2.6991439710444363,2.734011632245495,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
F_PU1,4,2,51591.60502136791,23.5433256779403,24.597928482891792,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
F_PU2,1,3,76308.24216397347,93.75740748790768,94.51136624472161,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
S_PU2,1,1,-3460.890907807763,0.9886514054307562,0.9962666779081899,-1,219,3878,214,80,5,92.96145559013647,5.88235294117647,2.28310502283105,3.289473684210526
F_PU4,4,4,64906.683288685585,49.11179561090858,49.37845580364335,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
S_PU4,4,4,2693.415761217999,1.4099241695468165,1.418952386176521,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
F_PU6,1,2,28590.579698764257,6.180026295155097,17.258929513958932,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
S_PU6,1,2,-34526.35637504088,0.1684978071153319,0.380323141314973,-1,219,3947,211,11,8,94.6851807517357,42.10526315789473,3.65296803652968,6.722689075630252
F_PU7,3,3,74626.11609816593,85.5403638874784,87.24669557502638,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
S_PU7,2,3,6129.296528146195,1.7159155495538878,1.776870556702554,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
S_PU8,4,2,5428.650908514246,1.6484037526105897,1.6431720770432598,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
F_PU10,2,4,66735.97855082167,54.52037628535099,55.799204510901426,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
S_PU10,2,4,6556.696204368673,1.7578423246761796,1.7959170521556729,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
F_PU11,1,1,7081.514647902477,1.8114212816311115,7.844662136851783,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
S_PU11,2,3,-48600.172377933355,0.07544361049988813,0.30466663882563594,-1,219,3952,204,6,15,94.9724682786689,71.42857142857143,6.8493150684931505,12.5
S_V2,4,3,-237.55215713465077,1.192278486687195,1.198804188862756,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
P_J269,3,4,41137.92511909604,12.764716157156268,13.188058054889261,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
P_J300,4,2,33027.42600822558,8.07881180618519,8.375982744084123,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
P_J256,4,2,53816.584027837554,26.480158662896216,26.75083333818552,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
P_J415,2,4,59447.76868948179,36.2292823703453,36.88354376341096,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
P_J302,4,4,45324.921471935784,16.08519578354969,17.593992330663564,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
P_J307,4,4,45530.55678094627,16.269348466724384,17.613632204893364,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
P_J317,1,1,54174.529869492006,26.85923050169603,28.73160366872401,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
P_J14,4,4,41853.24256933754,13.260097743962476,14.804030822878502,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
P_J422,4,2,32060.14812026977,7.678556204463554,7.973762438969327,-1,219,3958,219,0,0,94.757002633469,0.0,0.0,0.0
